precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:59:14",1777,952,887,65,0,937,15,1900,948,254,200,25,4,8,128,0,0,3,6,309
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",2,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:06:01",985,591,501,90,0,584,7,1100,509,173,128,16,4,1,50,2,2,1,6,201
1,ALBA,"ŞCOALA GIMNAZIALĂ „VASILE GOLDIŞ”",3,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:50:00",1279,627,580,47,0,621,6,1400,773,150,143,16,3,4,103,2,1,1,5,193
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",4,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:32:21",1256,762,694,51,17,758,4,1300,538,180,204,24,5,7,117,3,0,2,6,210
1,ALBA,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU”",5,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:17",965,543,479,64,0,535,8,1000,457,182,100,15,5,6,64,1,1,4,5,152
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:48:44",705,376,296,80,0,374,2,800,424,96,93,12,4,5,45,0,0,0,0,119
1,ALBA,"COLEGIUL ECONOMIC „DIONISIE POP MARŢIAN”",7,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:43:28",1539,1054,878,173,3,1043,11,1600,546,258,237,34,6,8,129,1,0,4,12,354
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",8,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:22:52",902,541,420,95,26,530,11,1000,459,110,161,9,5,5,79,0,1,1,2,157
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",9,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:17:23",1867,1121,1011,110,0,1107,14,1900,779,285,258,27,8,8,164,0,0,6,14,337
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",10,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:48:35",1307,707,571,136,0,701,6,1400,693,199,156,22,3,11,105,5,1,3,2,194
1,ALBA,"COLEGIUL NAŢIONAL „HOREA CLOŞCA ŞI CRIŞAN”",11,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:14:28",894,512,363,149,0,505,7,1000,488,209,65,22,3,8,51,3,2,1,2,139
